Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-04-10,MZ090221.1,USA: Arizona,0.0,4.0,2.0,3.0,13.0,0.0,2.0,5.0,1.0,2.0,4.0,3.0
2021-04-10,MZ090237.1,USA: Arizona,0.0,4.0,2.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,4.0,2.0
2021-04-10,MZ059276.1,USA: Arizona,0.0,3.0,3.0,3.0,11.0,0.0,1.0,2.0,1.0,4.0,3.0,4.0
2021-04-10,MZ059317.1,USA: Arizona,0.0,0.0,5.0,0.0,8.0,0.0,2.0,1.0,0.0,3.0,3.0,5.0
2021-04-10,MZ059759.1,USA: Arizona,1.0,3.0,3.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-10,MZ059780.1,USA: Arizona,0.0,3.0,3.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-10,MZ061340.1,USA: Arizona,2.0,2.0,4.0,1.0,14.0,1.0,1.0,2.0,0.0,4.0,2.0,5.0
2021-04-11,MZ090115.1,USA: Arizona,0.0,2.0,5.0,3.0,13.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-04-11,MZ090145.1,USA: Arizona,0.0,2.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-11,MZ090159.1,USA: Arizona,0.0,4.0,2.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,4.0,2.0
2021-04-11,MZ090170.1,USA: Arizona,0.0,3.0,2.0,4.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-11,MZ090188.1,USA: Arizona,0.0,2.0,5.0,3.0,13.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-04-11,MZ090208.1,USA: Arizona,0.0,3.0,2.0,4.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
